娓€㈡境鈥㈠彴,#genre#
鍑ゅ嚢涓枃,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1668336354&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
鍑ゅ嚢涓枃,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
鍑ゅ嚢涓枃,http://61.221.81.93:8078/hls/21/80/phoenixch.m3u8
鍑ゅ嚢涓枃,http://162.19.247.76:22222/live/fenghuangweishi/index.m3u8
鍑ゅ嚢璧勮,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1668336154&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
鍑ゅ嚢璧勮,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
鍑ゅ嚢璧勮,http://61.221.81.93:8078/hls/20/80/phoenixif.m3u8
鍑ゅ嚢璧勮,http://198.16.100.90:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
鍑ゅ嚢璧勮,http://162.19.247.76:22222/live/fenghuangzhixun/index.m3u8
鍑ゅ嚢棣欐腐,http://66.181.39.224/ml.php?id=hkphoenix_twn
鍑ゅ嚢棣欐腐,http://113.117.74.12:8081/hls/38/index.m3u8
鍑ゅ嚢鐢靛奖,http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA
棣欐腐鍗,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 
棣欐腐鍗,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0 
缈＄繝鍙�,http://r.jdshipin.com/n90gt
缈＄繝鍙�,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=MA3A7166615971666159&ct=19226&tsum=abeff4c5d0d1ad10147a21ebc6cc5182
缈＄繝鍙�,http://r.jdshipin.com/62WM7
缈＄繝鍙�,http://r.jdshipin.com/qClQf
缈＄繝鍙�,http://113.117.74.12:8081/hls/25/index.m3u8
缈＄繝鍙�,http://66.181.39.224/ml.php?id=jade_twn
缈＄繝鍙�,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=MDAD1890217018902170&ct=19249&tsum=36346362d72a1e85802fa5d3eee3861c
鏄庣彔鍙�,http://113.117.74.12:8081/hls/26/index.m3u8
鏄庣彔鍙�,http://198.16.100.90:8278/pearl_twn/playlist.m3u8?tid=MC6C7041327570413275&ct=19226&tsum=681972baf66d69caf7cccc92a90e5aad
TVB鏄熸渤,http://113.117.74.12:8081/hls/135/index.m3u8
鏄熺┖鍗,http://113.117.74.12:8081/hls/87/index.m3u8
鍔熷か鍙�,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
鏃犵嚎鏂伴椈,http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MF7F8784108987841089&ct=19225&tsum=50d719a9ed62cc070153963585e6d9d3
鏃犵嚎鏂伴椈,http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MD8D9734527497345274&ct=19249&tsum=88c5d57f9fdce89810d61e1001910a80
闈㈠寘鍙�,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8 
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
VIU6,http://50.7.238.114:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e
VIU6,http://50.7.238.114:8278/viusix_twn/playlist.m3u8?tid=MD7D9950629799506297&ct=19234&tsum=83ba3013be3e325b775bcd348b38eab1
VIU6,http://198.16.100.90:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e
婢抽棬鑾茶姳,http://107.151.203.111:2209/135/hk.php?id=amlh
婢抽棬鑾茶姳,http://anren.live/HK/BiIOU11uLA.m3u8
婢充簹鍗,http://107.151.203.111:2209/135/hk.php?id=aoya
婢充簹鍗,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
鏂板姞鍧′腑鏂囧彴,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
鏂板姞鍧″浗闄�,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
TVBS鏂伴椈鍙�,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8 
TVBS鏂伴椈鍙�,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS鏂伴椈鍙�,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS浜氭床,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS浜氭床,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS浜氭床,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS浜氭床,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
涓滄．鏂伴椈,http://198.16.100.90:8278/ettvnews/playlist.m3u8?ct=19225&tid=MAEA2793211727932117&tsum=151345e2ab6bc0c89ac85598f1988cd3
涓滄．鏂伴椈,http://198.16.100.90:8278/ettvnews/playlist.m3u8?tid=MAEA2793211727932117&ct=19225&tsum=151345e2ab6bc0c89ac85598f1988cd3
涓滄．鏂伴椈,http://50.7.238.114:8278/ettvnews/playlist.m3u8?tid=MAEA2793211727932117&ct=19225&tsum=151345e2ab6bc0c89ac85598f1988cd3
涓滄．鏂伴椈缇庢床鍙�,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
姘戣鏂伴椈鍙�,http://198.16.100.90:8278/ftvnew_taiwan/playlist.m3u8?tid=ME4E4172771041727710&ct=19226&tsum=7b91c7af6212419479b392ff575e0689
姘戣鏂伴椈鍙�,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
姘戣鏂伴椈鍙�,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
鍙拌鏂伴椈,http://198.16.100.90:8278/ttvnews_twn/playlist.m3u8?tid=MD9D1039476110394761&ct=19193&tsum=9f33349842788bfb7b0e90e93f7bf02c
鍙拌鏂伴椈,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
鍙拌鏂伴椈,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
鍙拌鏂伴椈,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
鍙拌鏂伴椈,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
涓ぉ鏂伴椈,http://66.181.39.224/ml.php?id=ctinews
涓ぉ鏂伴椈,http://lzoq.hk3.20212021.ml.cdn.cloudflare.net/daili/yg.php?id=cti
涓ぉ鏂伴椈,http://lzoq.hk3.20212021.ml.cdn.cloudflare.net/daili/ytb.php?id=oIgbl7t0S_w
涓ぉ鏂伴椈,http://lzoq.hk3.20212021.ml.cdn.cloudflare.net/daili/ytb.php?id=WPfPjbOLNfE
涓ぉ鏂伴椈,http://lzoq.hk3.20212021.ml.cdn.cloudflare.net/daili/yg.php?id=cti2
闈炲嚒鏂伴椈,http://66.181.39.224/ml.php?id=feifannews_twn
闈炲嚒鏂伴椈,http://50.7.238.114:8278/feifannews_twn/playlist.m3u8?tid=m050e7aad65f614336734&ct=17874&tsum=4ea1b829d195ac69a6c2ca51b21ae378
骞翠唬鏂伴椈,http://198.16.100.90:8278/niandainews_twn/playlist.m3u8?tid=MA6A4647720946477209&ct=19226&tsum=48a66838dbcf633b2fb41307b29ef50a
涓鏂伴椈,http://198.16.100.90:8278/zhongshinews_twn/playlist.m3u8?tid=MAAA4459856044598560&ct=19193&tsum=1b7bdea69c00cd48e31f13442c75c376
涓鏂伴椈,http://198.16.100.90:8278/zhongshinews_twn/playlist.m3u8?tid=MD0D3377711133777111&ct=19249&tsum=ffaee3fe7040c96643b3c7f12bf2de8d
涓鏂伴椈,http://50.7.238.114:8278/zhongshinews_twn/playlist.m3u8?tid=MAAA4459856044598560&ct=19193&tsum=1b7bdea69c00cd48e31f13442c75c376
鍙拌,http://162.19.247.76:22222/live/taishi/index.m3u8
涓,http://198.16.100.90:8278/zhongshihd_twn/playlist.m3u8?tid=MB4B2404962324049623&ct=19193&tsum=671b112a447ed494ae6219c14d0fab93
涓,http://162.19.247.76:22222/live/zhongshi/index.m3u8
鍗庤,http://162.19.247.76:22222/live/huashi/index.m3u8
姘戣绗竴鍙�,http://198.16.100.90:8278/lunghuajingdian_twn/playlist.m3u8?tid=ME8E7785888977858889&ct=19226&tsum=a7c782372313ea616d8fced1cebdfbab
姘戣绗竴鍙�,http://198.16.100.90:8278/lunghuajingdian_twn/playlist.m3u8?tid=MC2C7597780175977801&ct=19249&tsum=b7602981567d8f0171e8de29154f5014
姘戣鍙版咕鍙�,http://198.16.100.90:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD6045594360455943&ct=19193&tsum=0de4f998b15ba8f2ecdaa107d866212a
姘戣鍙版咕鍙�,http://198.16.100.90:8278/ftvtaiwan_twn/playlist.m3u8?tid=MEFE5254515252545152&ct=19249&tsum=c17f872b1772df8f76032030cc40bdbd
姘戣鍙版咕鍙�,http://50.7.238.114:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD6045594360455943&ct=19193&tsum=0de4f998b15ba8f2ecdaa107d866212a
姘戣鍙版咕鍙�,http://50.7.238.114:8278/ftvtaiwan_twn/playlist.m3u8?tid=MEFE5254515252545152&ct=19249&tsum=c17f872b1772df8f76032030cc40bdbd
姘戣鍙版咕鍙�,http://50.7.238.114:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD8196635981966359&ct=19226&tsum=b82639ac8b4590b4206effe348e2f9c2
涓夌珛閮戒細鍙�,http://50.7.238.114:8278/sanlidouhui_twn/playlist.m3u8?tid=md028b33ea0f7&ct=19361&tsum=1930e4b2cfbbd2f9f821af1c41e8d18d
涓夌珛缁煎悎鍙�,http://66.181.39.224/ml.php?id=sanlizhonghe
鍗涓枃鍙�,http://66.181.39.224/ml.php?id=weishichinese_twn
鏄熷崼鐢靛奖鍙�,http://50.7.238.114:8278/xingwei_movie/playlist.m3u8?tid=MBDB4578128345781283&ct=19225&tsum=f2041ec954c95b4a5fe29d7ccbfe5b60
闈栧ぉ鍥介檯鍙�,http://50.7.238.114:8278/jingtianintl_twn/playlist.m3u8?tid=ME4E7632479576324795&ct=19226&tsum=9922eeed6392b21e1710ba791cc599d6
鍏ぇ鎴忓墽鍙�,http://198.16.100.90:8278/badadrama/playlist.m3u8?tid=m4970c4e1b988&ct=18335&tsum=20cb1d15d4e116ab9e44edb542cf51a5
